station_name,description,latitude,longitude,source_group,source_url,status_note
The Zone,No details provided,32.880002,-117.236862,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
The Sustainability Resource Center,No details provided,32.879943,-117.237124,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Price Theater,No details provided,32.879993,-117.237055,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Price Center - 2nd Floor,Near PC West hallway entrance,32.879695,-117.236588,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Price Center - 4th Floor,Next to the elevator (PC East),32.879677,-117.236406,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Porters Pub,Foyer (Currently closed),32.8770015,-117.239479,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Source says closed (no date). Current condition and access are unverified.
Geisel 1st Floor,There are 4 hydration stations in Geisel,32.8811281,-117.2377258,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Hi Thai,No details provided,32.87719,-117.240214,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Peterson Hall,No details provided,32.880004,-117.240043,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Galbraith Hall,There are three hydration stations in Galbraith Hall,32.874028,-117.240976,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
CS&E Building,Student Lounge,32.881862,-117.23345,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Pepper Canyon,between the bathrooms,32.878209,-117.233954,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Campus Services Complex Building C,No details provided,32.882948,-117.229625,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Biology Field Station,No details provided,32.885561,-117.230161,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
EBU-II,There are hydration stations on every floor,32.881155,-117.233284,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Recreation Gym,No details provided,32.876758,-117.241185,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Main Gym,No details provided,32.877001,-117.241169,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Dance Studio Facility,No details provided,32.872811,-117.238991,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Medical Teaching Facility,There are two hydration stations here,32.875668,-117.235386,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
HSS,No details provided,32.878371,-117.241679,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
Price Center - 3rd Floor,By the restrooms,32.8797696,-117.2357136,Hydration Locations,https://www.google.com/maps/d/viewer?mid=18OFCg3GFp6wl5mCwioSvU9fdGAA&usp=sharing,Current condition and access hours have not been checked.
